d_name,sat_num_tst_takr,sat_num_erw_over_benchmark,sat_pct_erw_over_benchmark,sat_num_math_over_benchmark,sat_pct_math_over_benchmark,sat_enroll,sat_tot_num_both_over_benchmark,sat_pct_both_over_benchmark,annual_expense_of_ed,current_expense_ada,current_expense_per_ada,lea_type,avg_tchr_sex,avg_tchr_age,avg_tchr_edu_lvl,avg_tchr_yrs_tching,avg_tchr_yrs_in_dstrct,tchrs_per_district,cumulative_enrollment,cum_enrollment_sed,socio_ec_disadv_pct,student_teacher_ratio,act_enroll,act_num_tst_takr,act_avg_scr_read,act_avg_scr_eng,act_avg_scr_math,act_avg_scr_sci,act_num_ge_21,act_pct_ge_21
ABC Unified,1262.0,1041.0,0.82454,839.0,0.67252,3270.0,984.0,0.70204,230685270.33,19754.36,11677.688891464973,Unified,0.7369402985074627,44.625,5.763992537313433,15.803171641791044,13.680970149253731,1072,21624.0,11463.0,0.5301054384017758,20.171641791044777,526.1666666666666,72.0,24.8,24.8,25.2,24.2,68.8,0.7301599999999999
Acalanes Union High,946.0,904.0,0.95978,786.0,0.83378,2719.0,1343.0,0.9343999999999999,80123902.3,5426.46,14765.409180202194,High,0.6098265895953757,45.372832369942195,5.497109826589595,15.705202312138729,10.630057803468208,346,5803.0,453.0,0.07806307082543512,16.771676300578033,467.6666666666667,179.66666666666666,28.6,28.4,27.2,27.0,194.6,0.90476
Acton-Agua Dulce Unified,224.0,124.0,0.711225,55.0,0.31932499999999997,3775.0,87.0,0.476,14654006.7,1027.63,14260.002822027382,Unified,0.8259943181818182,41.01491477272727,4.3913352272727275,9.576704545454545,2.473721590909091,1408,28688.0,15525.0,0.5411670384829894,20.375,193.69230769230768,1.6923076923076923,,,,,,
Alameda Unified,746.0,576.0,0.7503666666666667,479.0,0.5706166666666667,1736.0,696.0,0.6433,117225882.5,8968.85,13070.335940505192,Unified,0.7448979591836735,45.08746355685131,4.706997084548105,13.018950437317784,8.838192419825074,686,11840.0,4046.0,0.341722972972973,17.259475218658892,251.42857142857142,44.285714285714285,27.0,26.333333333333332,26.0,25.0,85.0,0.8655666666666667
Albany City Unified,228.0,214.0,0.9386,194.0,0.8509,523.0,282.0,0.9592,46611059.59,3544.52,13150.175366481217,Unified,0.7763157894736842,46.55701754385965,4.780701754385965,13.008771929824562,8.798245614035087,228,3827.0,882.0,0.23046772929187354,16.785087719298247,301.5,58.0,28.0,27.0,27.0,26.0,51.0,0.8793000000000001
Alhambra Unified,1628.0,1287.0,0.7933,1124.0,0.69295,3410.0,1226.0,0.739675,210900295.93,15966.72,13208.742680400233,Unified,0.7680084745762712,44.152542372881356,6.177966101694915,15.452330508474576,13.529661016949152,944,17513.0,11362.0,0.6487751955690059,18.551906779661017,741.6,95.2,24.25,24.25,24.25,23.5,87.0,0.701875
Alpaugh Unified,36.0,8.0,0.44439999999999996,4.0,0.22219999999999998,150.0,0.0,,4284673.95,301.57,14207.891865901782,Unified,0.7620967741935484,39.25806451612903,4.653225806451613,8.278225806451612,2.975806451612903,248,1049.0,775.0,0.7387988560533841,4.229838709677419,53.333333333333336,0.6666666666666666,,,,,,
Alvord Unified,714.0,447.0,0.64045,286.0,0.41075,2801.0,532.0,0.18810000000000002,233776019.91,17539.61,13328.461688144718,Unified,0.7299618320610687,44.77385496183206,6.862595419847328,14.648854961832061,11.885496183206106,1048,20554.0,16471.0,0.8013525347864162,19.612595419847327,702.25,70.5,19.75,19.0,19.75,19.25,22.0,0.3727
Amador County Unified,106.0,88.0,0.8308666666666666,70.0,0.6607666666666667,629.0,71.0,0.85565,36092488.9,3775.31,9560.13914089174,Unified,0.6788617886178862,46.46747967479675,4.569105691056911,13.747967479674797,10.479674796747968,246,4391.0,2088.0,0.4755181052152129,17.849593495934958,139.25,18.5,24.0,23.0,23.0,22.333333333333332,19.333333333333332,0.7916666666666667
Anaheim Union High,2980.0,2213.0,0.71836,1586.0,0.50827,9638.0,1664.0,0.5914200000000001,364477147.08,28683.0,12707.079004288255,High,0.5575352635486266,45.65998515219005,5.301410541945063,16.061618411284336,14.971789161098737,1347,32342.0,25063.0,0.7749366149279574,24.010393466963624,940.8181818181819,83.27272727272727,22.11111111111111,21.555555555555557,21.666666666666668,21.88888888888889,56.44444444444444,0.5211888888888889
Anderson Union High,152.0,107.0,0.7177000000000001,62.0,0.4494,821.0,84.0,0.5432,18819343.45,1427.43,13184.074490517924,High,0.42,45.33,4.44,15.51,12.49,100,2070.0,1252.0,0.6048309178743961,20.7,173.2,11.6,24.0,21.0,21.5,23.0,18.5,0.7099
Anderson Valley Unified,50.0,34.0,0.68,10.0,0.2,44.0,0.0,,7792586.68,446.0,17472.16744394619,Unified,0.6511627906976745,46.58139534883721,4.093023255813954,11.813953488372093,9.69767441860465,43,519.0,443.0,0.8535645472061657,12.069767441860465,50.5,2.0,,,,,,
Antelope Valley Union High,2294.0,1513.0,0.64919,750.0,0.32875,10530.0,1406.0,0.18058461538461537,270991264.1,19425.97,13949.947626810914,High,0.5342349957734573,45.85967878275571,5.2113271344040575,15.136094674556213,11.814877430262046,1183,26326.0,19603.0,0.7446250854668389,22.25359256128487,875.1666666666666,56.5,20.8,19.6,18.7,19.5,29.8,0.39124000000000003
Antioch Unified,572.0,380.0,0.6734,234.0,0.41264999999999996,2504.0,201.0,0.543825,205569457.13,15156.59,13563.041365505038,Unified,0.75192096597146,46.828759604829855,4.2930845225027445,15.253567508232711,12.065861690450054,911,19527.0,13912.0,0.7124494289957495,21.434687156970362,570.0,46.8,22.0,20.0,20.25,20.25,24.25,0.433625
Apple Valley Unified,632.0,512.0,0.818875,248.0,0.4116,2028.0,281.0,0.4124,157161110.73,12378.06,12696.74817620855,Unified,0.7029177718832891,45.05968169761273,4.5557029177718835,13.412466843501326,10.90053050397878,754,16520.0,11965.0,0.7242736077481841,21.909814323607428,433.8,32.8,22.5,22.0,20.0,21.0,36.0,0.5288499999999999
Arcadia Unified,744.0,689.0,0.9298,653.0,0.88125,1591.0,800.0,0.9390000000000001,106247183.82,9128.98,11638.45071629032,Unified,0.7405940594059406,44.10495049504951,6.693069306930693,14.398019801980197,12.586138613861387,505,9767.0,2735.0,0.28002457254018637,19.34059405940594,569.0,128.0,28.0,29.0,28.0,27.0,175.0,0.9115000000000001
Atascadero Unified,90.0,79.0,0.88765,58.0,0.65175,731.0,115.0,0.7055,49932928.57,4503.37,11087.90274172453,Unified,0.7852112676056338,42.855633802816904,4.654929577464789,14.158450704225352,10.883802816901408,284,5084.0,2194.0,0.43154996066089696,17.901408450704224,220.66666666666666,23.333333333333332,26.0,25.0,25.0,25.0,26.5,0.7680500000000001
Azusa Unified,374.0,258.0,0.6926000000000001,150.0,0.40273333333333333,1315.0,260.0,0.173775,110109228.03,7744.16,14218.35654609409,Unified,0.7610441767068273,47.68273092369478,6.763052208835341,18.26706827309237,15.608433734939759,498,8886.0,7662.0,0.8622552329507089,17.843373493975903,408.3333333333333,32.666666666666664,19.0,18.666666666666668,19.333333333333332,20.333333333333332,11.333333333333334,0.3495333333333333
Baldwin Park Unified,856.0,548.0,0.6421,298.0,0.3498,3560.0,280.0,0.440125,166397356.72,12017.21,13846.588078264424,Unified,0.7426160337552743,43.29957805907173,5.459915611814346,9.901898734177216,7.041139240506329,948,25040.0,18866.0,0.7534345047923323,26.41350210970464,795.5,111.0,20.0,18.666666666666668,19.666666666666668,19.333333333333332,58.666666666666664,0.39496666666666663
Banning Unified,148.0,96.0,0.6575,50.0,0.3425,596.0,52.0,0.4127,57967453.27,4244.92,13655.723375234398,Unified,0.6816479400749064,44.08614232209738,4.715355805243446,12.093632958801498,10.082397003745319,267,5401.0,4788.0,0.8865024995371228,20.228464419475657,222.33333333333334,34.0,18.0,17.0,18.0,18.0,13.0,0.25489999999999996
Barstow Unified,88.0,58.0,0.6591,38.0,0.4318,683.0,62.0,0.5849,75006946.74,5858.64,12802.791559133177,Unified,0.721875,46.74375,5.065625,14.003125,11.21875,320,7649.0,6245.0,0.8164465943260557,23.903125,356.5,26.0,18.0,17.0,19.0,19.0,8.0,0.3077
Bassett Unified,182.0,112.0,0.6154,70.0,0.3846,471.0,42.0,0.36840000000000006,43150223.41,3318.11,13004.458384441745,Unified,0.7373737373737373,47.823232323232325,5.6767676767676765,18.681818181818183,16.32323232323232,198,3758.0,3480.0,0.9260244811069718,18.97979797979798,269.5,21.0,23.0,22.0,22.0,22.0,12.0,0.5714
Bear Valley Unified,72.0,62.0,0.8611,40.0,0.5556,374.0,28.0,0.7778,27423963.79,2282.28,12016.038255604044,Unified,0.7022900763358778,48.62595419847328,5.190839694656488,16.977099236641223,13.870229007633588,131,2686.0,1943.0,0.7233804914370812,20.50381679389313,181.0,9.0,,,,,,
Beaumont Unified,1154.0,673.0,0.5862499999999999,329.0,0.2866,1474.0,318.0,0.28264999999999996,113392474.64,9960.32,11384.420845916597,Unified,0.7394366197183099,41.346830985915496,5.36443661971831,11.80105633802817,8.494718309859154,568,11891.0,6932.0,0.5829619039609789,20.934859154929576,468.3333333333333,32.0,22.0,20.0,20.0,21.0,23.0,0.4792
Bellflower Unified,526.0,413.0,0.7811333333333333,276.0,0.5246,1902.0,270.0,0.6445000000000001,145793378.49,11291.62,12911.644076757808,Unified,0.7418831168831169,45.24837662337662,5.62012987012987,15.87012987012987,14.105519480519481,616,12792.0,9291.0,0.7263133208255159,20.766233766233768,590.6666666666666,20.666666666666668,25.0,24.0,22.0,23.0,21.0,0.7668
Benicia Unified,264.0,236.0,0.8939,198.0,0.75,854.0,240.0,0.8451000000000001,47907683.29,4454.46,10754.992364955573,Unified,0.7076923076923077,45.79615384615385,4.984615384615385,14.788461538461538,11.207692307692307,260,4870.0,1267.0,0.26016427104722795,18.73076923076923,384.5,67.0,27.0,26.0,25.0,25.0,56.0,0.8358
Berkeley Unified,615.0,545.0,0.8899,449.0,0.73355,1737.0,586.0,0.786,159457818.49,9356.44,17042.573723552974,Unified,0.7133676092544987,44.11053984575835,4.854755784061696,12.767352185089974,8.239074550128535,778,10638.0,3604.0,0.3387854859936078,13.673521850899743,533.3333333333334,149.66666666666666,26.0,25.5,25.0,24.5,165.5,0.73725
Beverly Hills Unified,290.0,278.0,0.9586,234.0,0.8069,665.0,324.0,0.7297,71118089.23,3599.35,19758.59230972259,Unified,0.7272727272727273,44.397306397306394,6.377104377104377,15.64983164983165,10.88888888888889,297,3964.0,764.0,0.1927346115035318,13.346801346801346,414.0,91.0,28.0,29.0,27.0,26.0,78.0,0.8571
Big Oak Flat-Groveland Unified,28.0,0.0,,0.0,,60.0,0.0,,5191162.68,275.93,18813.33193201174,Unified,0.7407407407407407,52.111111111111114,3.740740740740741,15.814814814814815,9.666666666666666,27,342.0,211.0,0.6169590643274854,12.666666666666666,25.0,0.0,,,,,,
Big Valley Joint Unified,20.0,0.0,,0.0,,22.0,0.0,,2443847.29,122.78,19904.278302655155,Unified,0.6363636363636364,44.36363636363637,3.5454545454545454,8.636363636363637,7.818181818181818,11,146.0,108.0,0.7397260273972602,13.272727272727273,20.0,0.0,,,,,,
Biggs Unified,16.0,0.0,,0.0,,114.0,0.0,,6898491.99,580.23,11889.237009461765,Unified,0.6923076923076923,42.53846153846154,3.7948717948717947,11.487179487179487,7.794871794871795,39,700.0,478.0,0.6828571428571428,17.94871794871795,57.0,5.0,,,,,,
Bishop Unified,106.0,82.0,0.7736,58.0,0.5472,260.0,60.0,0.5882000000000001,22035265.35,1862.56,11830.633831930249,Unified,0.6956521739130435,45.208695652173915,4.852173913043479,14.530434782608696,9.808695652173913,115,2147.0,1167.0,0.543549138332557,18.669565217391305,145.5,27.0,23.0,22.0,22.0,22.0,19.0,0.7037
Black Oak Mine Unified,24.0,0.0,,0.0,,162.0,0.0,,11758400.93,977.58,12028.070265349126,Unified,0.671875,48.578125,3.78125,12.703125,10.3125,64,1355.0,672.0,0.4959409594095941,21.171875,84.0,6.0,,,,,,
Bonita Unified,632.0,518.0,0.8184333333333332,352.0,0.5526333333333334,1633.0,718.0,0.5829666666666666,107261273.8,9670.69,11091.377533557585,Unified,0.7522935779816514,43.01651376146789,6.576146788990826,13.291743119266055,11.20183486238532,545,10783.0,4393.0,0.40740053788370584,19.785321100917432,553.3333333333334,104.66666666666667,23.333333333333332,22.333333333333332,22.666666666666668,22.333333333333332,64.66666666666667,0.6231333333333333
Bonsall Unified,74.0,54.0,0.7295,28.0,0.3779,152.0,38.0,0.7037,25237742.54,2616.76,9644.6531359391,Unified,0.8206896551724138,41.93103448275862,4.744827586206896,7.7379310344827585,6.117241379310345,145,2657.0,1013.0,0.3812570568310124,18.324137931034482,66.5,5.0,,,,,,
Borrego Springs Unified,61.0,27.0,0.5867,6.0,0.127,1506.0,0.0,,6543356.21,370.68,17652.30444048775,Unified,0.6197183098591549,41.683098591549296,3.5,11.133802816901408,3.0774647887323945,142,4290.0,3323.0,0.7745920745920746,30.211267605633804,206.0,0.6666666666666666,,,,,,
Brawley Union High,262.0,172.0,0.6565000000000001,76.0,0.2901,831.0,128.0,0.3926,25381776.4,1843.55,13767.88066502129,High,0.504950495049505,45.277227722772274,5.267326732673268,15.445544554455445,13.049504950495049,101,2143.0,1691.0,0.7890807279514699,21.217821782178216,422.0,115.0,19.0,18.0,18.0,18.0,34.0,0.2957
Brea-Olinda Unified,410.0,374.0,0.9167,307.0,0.7524500000000001,863.0,250.0,0.8803,57997560.68,5776.97,10039.442939811008,Unified,0.7656765676567657,43.537953795379536,5.666666666666667,15.158415841584159,12.58085808580858,303,6226.0,2072.0,0.3327979441053646,20.54785478547855,491.0,121.0,26.0,26.0,26.0,26.0,109.0,0.9007999999999999
Bret Harte Union High,92.0,84.0,0.9129999999999999,58.0,0.6304,305.0,58.0,0.8286,10985988.83,598.04,18369.99001739014,High,0.43478260869565216,46.630434782608695,4.717391304347826,16.76086956521739,12.5,46,723.0,302.0,0.41770401106500693,15.717391304347826,161.0,12.0,,,,,,
Burbank Unified,1044.0,877.0,0.8406666666666666,754.0,0.7245333333333334,2626.0,733.0,0.8891333333333332,169596961.86,14579.31,11632.715256071791,Unified,0.7478580171358629,45.307221542227666,4.855569155446757,15.62545899632803,12.325581395348838,817,15975.0,6143.0,0.38453834115805946,19.553243574051407,632.5,88.0,25.666666666666668,25.333333333333332,24.666666666666668,24.0,93.0,0.7939333333333333
Butte Valley Unified,0.0,0.0,,0.0,,36.0,0.0,,4072326.67,273.06,14913.669779535632,Unified,0.6521739130434783,45.04347826086956,4.391304347826087,12.608695652173912,9.434782608695652,23,328.0,286.0,0.8719512195121951,14.26086956521739,18.0,0.0,,,,,,
