,d_name,edp_365,current_expense_ada,current_expense_per_ada,lea_type
0,Alameda Unified,117225882.5,8968.85,13070.335940505192,Unified
1,Albany City Unified,46611059.59,3544.52,13150.175366481217,Unified
2,Berkeley Unified,159457818.49,9356.44,17042.573723552974,Unified
3,Castro Valley Unified,102239937.34,8940.2,11435.978763338628,Unified
4,Emery Unified,12504023.21,681.82,18339.185136839635,Unified
5,Fremont Unified,382169476.39,33966.73,11251.288434005863,Unified
6,Hayward Unified,266964086.73,18755.2,14234.137024931752,Unified
7,Livermore Valley Joint Unified,158623654.06,13142.04,12069.941505276198,Unified
9,Newark Unified,66780274.76,5552.86,12026.284610092818,Unified
10,New Haven Unified,124186922.85,10017.51,12396.985163977874,Unified
11,Oakland Unified,538133451.77,32801.87,16405.572358222256,Unified
12,Piedmont City Unified,42452180.51,2521.94,16833.144527625558,Unified
13,San Leandro Unified,106671109.38,8472.52,12590.245804081902,Unified
14,San Lorenzo Unified,129723029.06,9643.82,13451.415420445426,Unified
15,Dublin Unified,122537246.11,11769.85,10411.113659902207,Unified
16,Pleasanton Unified,165366882.26,14502.94,11402.300654901695,Unified
17,Sunol Glen Unified,3706763.5,287.16,12908.355968797881,Unified
18,Alpine County Unified,3202880.16,74.47,43008.99906002417,Unified
19,Amador County Unified,36092488.9,3775.31,9560.13914089174,Unified
21,Biggs Unified,6898491.99,580.23,11889.237009461765,Unified
22,Chico Unified,145844464.85,11783.23,12377.290848943796,Unified
23,Durham Unified,11132391.88,997.79,11157.048958197618,Unified
28,Oroville Union High,27856421.22,1981.0,14061.797688036344,High
30,Paradise Unified,39503177.92,3152.85,12529.355319790033,Unified
33,Gridley Unified,23369909.91,1981.06,11796.669414353932,Unified
34,Bret Harte Union High,10985988.83,598.04,18369.99001739014,High
35,Calaveras Unified,31919226.42,2644.37,12070.635508646674,Unified
38,Colusa Unified,15853987.43,1422.61,11144.296349667162,Unified
39,Maxwell Unified,4254259.99,326.88,13014.745441752326,Unified
40,Pierce Joint Unified,15109109.81,1415.63,10673.064155181792,Unified
41,Williams Unified,15600533.12,1227.27,12711.573753126859,Unified
42,Acalanes Union High,80123902.3,5426.46,14765.409180202194,High
43,Antioch Unified,205569457.13,15156.59,13563.041365505038,Unified
47,John Swett Unified,16944620.73,1335.12,12691.458992450118,Unified
50,Liberty Union High,90972618.34,7762.41,11719.63582701764,High
51,Martinez Unified,45252516.04,3935.66,11498.075555307116,Unified
53,Mt. Diablo Unified,378275568.53,29298.72,12910.99298979614,Unified
56,Pittsburg Unified,140830835.49,10723.85,13132.488377774773,Unified
57,West Contra Costa Unified,356728761.91,26406.71,13509.019560179971,Unified
58,San Ramon Valley Unified,339618872.5,31055.22,10935.967367160818,Unified
60,Del Norte County Unified,44698597.3,3392.97,13173.885209713024,Unified
63,El Dorado Union High,77743140.76,6299.68,12340.807907703249,High
67,Lake Tahoe Unified,48032847.67,3590.02,13379.548768530538,Unified
75,Black Oak Mine Unified,11758400.93,977.58,12028.070265349126,Unified
80,Clovis Unified,445849473.76,41008.48,10872.128734349577,Unified
81,Coalinga-Huron Unified,54650684.31,4015.7,13609.254752596062,Unified
82,Fowler Unified,31435016.84,2482.44,12662.951305973154,Unified
83,Fresno Unified,910693019.62,66761.96,13640.896996133724,Unified
85,Kingsburg Joint Union High,13772119.34,1099.16,12529.676607591251,High
86,Kings Canyon Joint Unified,117294184.14,9081.53,12915.68536799416,Unified
87,Laton Joint Unified,9666240.15,631.78,15300.009734401217,Unified
91,Parlier Unified,43396409.98,3315.64,13088.396201035093,Unified
94,Sanger Unified,126812104.77,10417.61,12172.85968374704,Unified
95,Selma Unified,83968563.15,6099.85,13765.676721558728,Unified
99,Firebaugh-Las Deltas Unified,30060423.62,2155.56,13945.52859581733,Unified
100,Central Unified,174390715.01,14932.98,11678.225981016514,Unified
101,Kerman Unified,55517150.47,5018.86,11061.705341452043,Unified
102,Mendota Unified,40020598.57,3330.32,12017.042977851977,Unified
103,Golden Plains Unified,23921080.97,1546.63,15466.582809075213,Unified
104,Sierra Unified,17211194.94,1194.08,14413.770383893878,Unified
105,Riverdale Joint Unified,20726992.18,1506.65,13757.00539607739,Unified
106,Caruthers Unified,18017826.49,1443.35,12483.338407177745,Unified
107,Washington Unified,34915218.23,2461.02,14187.295605074318,Unified
111,Princeton Joint Unified,2211203.36,135.86,16275.60253201825,Unified
112,Stony Creek Joint Unified,1796497.38,59.68,30102.16789544236,Unified
113,Willows Unified,13541257.01,1380.38,9809.803829380315,Unified
114,Orland Joint Unified,25846507.24,2133.82,12112.78703920668,Unified
115,Hamilton Unified,7881946.74,687.79,11459.815844952676,Unified
117,Northern Humboldt Union High,20452052.57,1406.31,14543.061323605749,High
124,Fortuna Union High,13456258.65,1011.23,13306.823027402274,High
130,Klamath-Trinity Joint Unified,19542112.24,894.77,21840.37488963644,Unified
141,Southern Humboldt Joint Unified,9447330.49,690.22,13687.4192141636,Unified
143,Ferndale Unified,6593766.84,450.64,14632.005236996272,Unified
144,Mattole Unified,1699397.98,48.79,34830.866571018654,Unified
145,Eureka City Unified,42610085.71,3387.66,12578.028996416406,Unified
148,Brawley Union High,25381776.4,1843.55,13767.88066502129,High
149,Calexico Unified,117889165.07,8786.56,13416.987429665307,Unified
150,Calipatria Unified,15757347.24,1080.21,14587.299913905628,Unified
151,Central Union High,52303844.74,3952.8,13232.099964582068,High
154,Holtville Unified,19498582.91,1509.37,12918.358593320392,Unified
155,Imperial Unified,46140787.99,4117.91,11204.904427245861,Unified
160,San Pasqual Valley Unified,15094511.35,645.87,23370.81974700791,Unified
163,Big Pine Unified,3651349.03,128.09,28506.120930595673,Unified
164,Death Valley Unified,1304764.47,25.21,51755.82982943276,Unified
165,Lone Pine Unified,4996604.85,295.48,16910.12877352105,Unified
166,Owens Valley Unified,2000202.22,74.3,26920.622072678332,Unified
168,Bishop Unified,22035265.35,1862.56,11830.633831930249,Unified
178,Delano Joint Union High,56962787.65,4028.35,14140.476286817184,High
186,Kern High,515782697.33,37677.86,13689.27792953209,High
194,Maricopa Unified,5600755.2,275.97,20294.7972605718,Unified
197,Mojave Unified,32978837.03,2559.87,12883.012430318728,Unified
198,Muroc Joint Unified,19221351.13,1688.71,11382.268790970622,Unified
203,Southern Kern Unified,41783045.65,3329.18,12550.551682396266,Unified
207,Taft Union High,21214926.93,952.54,22271.953860205347,High
208,Tehachapi Unified,43350427.29,4029.78,10757.517107633666,Unified
211,Wasco Union High,21409174.16,1750.19,12232.485707266069,High
213,Sierra Sands Unified,57305929.19,4849.05,11817.970363267032,Unified
214,Mcfarland Unified,41739885.55,3306.93,12621.944084090077,Unified
215,El Tejon Unified,8625448.99,684.41,12602.751260209525,Unified
218,Corcoran Joint Unified,39711773.39,3118.53,12734.132232173492,Unified
220,Hanford Joint Union High,46471416.45,3603.6,12895.830960705962,High
226,Lemoore Union High,23235434.2,1812.35,12820.610919524375,High
228,Reef-Sunset Unified,33543580.55,2550.86,13149.91044196859,Unified
229,Kelseyville Unified,21984210.28,1596.33,13771.720308457527,Unified
230,Konocti Unified,43234686.37,3226.14,13401.367073344616,Unified
231,Lakeport Unified,18211595.17,1365.89,13333.134564276772,Unified
233,Middletown Unified,15726039.78,1399.11,11240.031005424878,Unified
234,Upper Lake Unified,10287378.07,760.23,13531.928587401182,Unified
