d_name,gender_code,age,education_level,years_teaching,years_in_district,tchrs_per_district
ABC Unified,0.7369402985074627,44.625,5.763992537313433,15.803171641791044,13.680970149253731,1072
Acalanes Union High,0.6098265895953757,45.372832369942195,5.497109826589595,15.705202312138729,10.630057803468208,346
Ackerman Charter,0.6774193548387096,47.03225806451613,4.516129032258065,13.96774193548387,9.548387096774194,31
Acton-Agua Dulce Unified,0.8259943181818182,41.01491477272727,4.3913352272727275,9.576704545454545,2.473721590909091,1408
Adelanto Elementary,0.7777777777777778,47.52098765432099,3.271604938271605,9.755555555555556,7.8617283950617285,405
Alameda County Office of Education,0.794425087108014,40.91637630662021,4.790940766550523,10.829268292682928,6.076655052264808,287
Alameda Unified,0.7448979591836735,45.08746355685131,4.706997084548105,13.018950437317784,8.838192419825074,686
Albany City Unified,0.7763157894736842,46.55701754385965,4.780701754385965,13.008771929824562,8.798245614035087,228
Alexander Valley Union Elementary,0.7142857142857143,49.142857142857146,4.357142857142857,17.857142857142858,7.357142857142857,14
Alhambra Unified,0.7680084745762712,44.152542372881356,6.177966101694915,15.452330508474576,13.529661016949152,944
Alisal Union,0.7649880095923262,42.99760191846523,3.470023980815348,8.827338129496402,8.292565947242206,417
Allensworth Elementary,0.4,32.2,2.2,4.4,4.0,5
Alpaugh Unified,0.7620967741935484,39.25806451612903,4.653225806451613,8.278225806451612,2.975806451612903,248
Alpine County Office of Education,0.5,54.5,6.5,12.0,12.0,2
Alpine County Unified,0.7333333333333333,46.8,4.666666666666667,12.0,7.133333333333334,15
Alpine Union Elementary,0.875,50.2875,5.55,14.05,11.2,80
Alta Loma Elementary,0.8695652173913043,43.063545150501675,5.842809364548495,15.133779264214047,12.561872909698996,299
Alta Vista Elementary,0.68,46.44,3.2,10.76,10.48,25
Alta-Dutch Flat Union Elementary,1.0,50.6,5.4,17.0,16.2,5
Alum Rock Union Elementary,0.7689873417721519,43.84335443037975,4.22626582278481,13.867088607594937,11.136075949367088,632
Alview-Dairyland Union Elementary,0.9473684210526315,43.21052631578947,3.0526315789473686,9.736842105263158,9.736842105263158,19
Alvina Elementary,0.5384615384615384,44.46153846153846,3.4615384615384617,13.692307692307692,8.461538461538462,13
Alvord Unified,0.7299618320610687,44.77385496183206,6.862595419847328,14.648854961832061,11.885496183206106,1048
Amador County Office of Education,0.6178861788617886,46.63414634146341,4.853658536585366,12.048780487804878,8.796747967479675,123
Amador County Unified,0.6788617886178862,46.46747967479675,4.569105691056911,13.747967479674797,10.479674796747968,246
Anaheim Elementary,0.9010669253152279,43.21532492725509,6.004849660523763,13.14161008729389,11.95635305528613,1031
Anaheim Union High,0.5575352635486266,45.65998515219005,5.301410541945063,16.061618411284336,14.971789161098737,1347
Anderson Union High,0.42,45.33,4.44,15.51,12.49,100
Anderson Valley Unified,0.6511627906976745,46.58139534883721,4.093023255813954,11.813953488372093,9.69767441860465,43
Antelope Elementary,0.8125,45.395833333333336,3.6875,15.375,11.479166666666666,48
Antelope Valley Union High,0.5342349957734573,45.85967878275571,5.2113271344040575,15.136094674556213,11.814877430262046,1183
Antioch Unified,0.75192096597146,46.828759604829855,4.2930845225027445,15.253567508232711,12.065861690450054,911
Apple Valley Unified,0.7029177718832891,45.05968169761273,4.5557029177718835,13.412466843501326,10.90053050397878,754
Arcadia Unified,0.7405940594059406,44.10495049504951,6.693069306930693,14.398019801980197,12.586138613861387,505
Arcata Elementary,0.8314606741573034,43.59550561797753,3.831460674157303,13.134831460674157,9.044943820224718,89
Arcohe Union Elementary,0.9259259259259259,45.074074074074076,3.6666666666666665,11.62962962962963,9.703703703703704,27
Arena Union Elementary,0.6666666666666666,49.04761904761905,3.7142857142857144,14.19047619047619,8.380952380952381,21
Armona Union Elementary,0.82,42.77333333333333,4.463333333333333,11.623333333333333,6.78,300
Aromas - San Juan Unified,0.7857142857142857,47.892857142857146,4.696428571428571,15.053571428571429,10.303571428571429,56
Arvin Union,0.75,41.64673913043478,3.5543478260869565,12.206521739130435,10.282608695652174,184
Atascadero Unified,0.7852112676056338,42.855633802816904,4.654929577464789,14.158450704225352,10.883802816901408,284
Atwater Elementary,0.7977941176470589,43.6985294117647,3.4301470588235294,11.698529411764707,10.5625,272
Auburn Union Elementary,0.8034188034188035,47.05982905982906,4.52991452991453,14.05982905982906,9.974358974358974,117
Azusa Unified,0.7610441767068273,47.68273092369478,6.763052208835341,18.26706827309237,15.608433734939759,498
Baker Valley Unified,0.5833333333333334,39.833333333333336,3.3333333333333335,6.666666666666667,5.583333333333333,12
Bakersfield City,0.8294277929155314,42.918801089918254,2.925340599455041,13.170027247956403,12.069209809264304,1835
Baldwin Park Unified,0.7426160337552743,43.29957805907173,5.459915611814346,9.901898734177216,7.041139240506329,948
Ballard Elementary,0.7777777777777778,48.77777777777778,4.333333333333333,24.22222222222222,15.666666666666666,9
Ballico-Cressey Elementary,0.782608695652174,41.608695652173914,2.9130434782608696,6.782608695652174,3.4782608695652173,23
Bangor Union Elementary,0.8,40.0,4.6,7.6,7.6,5
Banning Unified,0.6816479400749064,44.08614232209738,4.715355805243446,12.093632958801498,10.082397003745319,267
Banta Elementary,0.8913043478260869,43.34782608695652,4.086956521739131,11.369565217391305,6.195652173913044,46
Barstow Unified,0.721875,46.74375,5.065625,14.003125,11.21875,320
Bass Lake Joint Union Elementary,0.9019607843137255,48.490196078431374,4.196078431372549,16.392156862745097,11.901960784313726,51
Bassett Unified,0.7373737373737373,47.823232323232325,5.6767676767676765,18.681818181818183,16.32323232323232,198
Bayshore Elementary,0.8275862068965517,37.206896551724135,5.103448275862069,3.4827586206896552,3.4827586206896552,29
Bear Valley Unified,0.7022900763358778,48.62595419847328,5.190839694656488,16.977099236641223,13.870229007633588,131
Beardsley Elementary,0.8403361344537815,44.109243697478995,3.7394957983193278,12.697478991596638,10.722689075630251,119
Beaumont Unified,0.7394366197183099,41.346830985915496,5.36443661971831,11.80105633802817,8.494718309859154,568
Bella Vista Elementary,0.8095238095238095,45.333333333333336,3.857142857142857,14.952380952380953,11.19047619047619,21
Belleview Elementary,1.0,47.54545454545455,4.545454545454546,14.272727272727273,8.545454545454545,11
Bellevue Union,0.8372093023255814,46.674418604651166,3.8255813953488373,14.395348837209303,11.127906976744185,86
Bellflower Unified,0.7418831168831169,45.24837662337662,5.62012987012987,15.87012987012987,14.105519480519481,616
Belmont-Redwood Shores Elementary,0.8410041841004184,42.59414225941423,4.188284518828452,12.861924686192468,8.665271966527197,239
Belridge Elementary,0.6666666666666666,44.333333333333336,5.666666666666667,19.0,18.0,3
Benicia Unified,0.7076923076923077,45.79615384615385,4.984615384615385,14.788461538461538,11.207692307692307,260
Bennett Valley Union Elementary,0.9333333333333333,44.61666666666667,4.533333333333333,14.983333333333333,11.0,60
Berkeley Unified,0.7133676092544987,44.11053984575835,4.854755784061696,12.767352185089974,8.239074550128535,778
Berryessa Union Elementary,0.8224043715846995,42.99180327868852,4.666666666666667,13.44535519125683,10.418032786885245,366
